20:00:53: [INFO] [C:\Users\Andy Xu\Desktop\Python Projects\warg-auto-bootcamp\autonomy-bootcamp-2025-p2\modules\common\modules\logger\logger_main_setup.py | setup_main_logger | 62] main logger initialized
20:00:54: [INFO] [C:\Users\Andy Xu\Desktop\Python Projects\warg-auto-bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | main | 143] Connected!
20:00:54: [INFO] [C:\Users\Andy Xu\Desktop\Python Projects\warg-auto-bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 87] CHANGE ALTITUDE: 1
20:00:55: [INFO] [C:\Users\Andy Xu\Desktop\Python Projects\warg-auto-bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 87] CHANGE ALTITUDE: -1
20:00:58: [INFO] [C:\Users\Andy Xu\Desktop\Python Projects\warg-auto-bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 87] CHANGE YAW: 63.434948822922024
20:00:58: [INFO] [C:\Users\Andy Xu\Desktop\Python Projects\warg-auto-bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 87] CHANGE YAW: 90.0
20:00:59: [INFO] [C:\Users\Andy Xu\Desktop\Python Projects\warg-auto-bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 87] CHANGE YAW: 116.56505117707798
20:00:59: [INFO] [C:\Users\Andy Xu\Desktop\Python Projects\warg-auto-bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 87] CHANGE YAW: 45.0
20:01:00: [INFO] [C:\Users\Andy Xu\Desktop\Python Projects\warg-auto-bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 87] CHANGE YAW: 63.434948822921996
20:01:00: [INFO] [C:\Users\Andy Xu\Desktop\Python Projects\warg-auto-bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 87] CHANGE YAW: 90.0
20:01:01: [INFO] [C:\Users\Andy Xu\Desktop\Python Projects\warg-auto-bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 87] CHANGE YAW: 26.565051177077976
20:01:01: [INFO] [C:\Users\Andy Xu\Desktop\Python Projects\warg-auto-bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 87] CHANGE YAW: 45.0
20:01:02: [INFO] [C:\Users\Andy Xu\Desktop\Python Projects\warg-auto-bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 87] CHANGE YAW: 90.0
20:01:02: [INFO] [C:\Users\Andy Xu\Desktop\Python Projects\warg-auto-bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 87] CHANGE YAW: 45.0
20:01:03: [INFO] [C:\Users\Andy Xu\Desktop\Python Projects\warg-auto-bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 87] CHANGE YAW: 90.0
20:01:03: [INFO] [C:\Users\Andy Xu\Desktop\Python Projects\warg-auto-bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 87] CHANGE YAW: 135.0
20:01:04: [INFO] [C:\Users\Andy Xu\Desktop\Python Projects\warg-auto-bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 87] CHANGE YAW: -26.565051177077976
20:01:04: [INFO] [C:\Users\Andy Xu\Desktop\Python Projects\warg-auto-bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 87] CHANGE YAW: -45.0
20:01:05: [INFO] [C:\Users\Andy Xu\Desktop\Python Projects\warg-auto-bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 87] CHANGE YAW: -90.0
20:01:05: [INFO] [C:\Users\Andy Xu\Desktop\Python Projects\warg-auto-bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 87] CHANGE YAW: -45.0
20:01:06: [INFO] [C:\Users\Andy Xu\Desktop\Python Projects\warg-auto-bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 87] CHANGE YAW: -90.0
20:01:06: [INFO] [C:\Users\Andy Xu\Desktop\Python Projects\warg-auto-bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 87] CHANGE YAW: -135.0
20:01:07: [INFO] [C:\Users\Andy Xu\Desktop\Python Projects\warg-auto-bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 87] CHANGE YAW: -63.434948822921996
20:01:07: [INFO] [C:\Users\Andy Xu\Desktop\Python Projects\warg-auto-bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 87] CHANGE YAW: -90.0
20:01:08: [INFO] [C:\Users\Andy Xu\Desktop\Python Projects\warg-auto-bootcamp\autonomy-bootcamp-2025-p2\tests\integration\test_command.py | read_queue | 87] CHANGE YAW: -116.56505117707798
