13:22:56: [INFO] [C:\Dev\Programming\UWARG\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver_worker.py | heartbeat_receiver_worker | 51] Logger initialized
13:22:56: [INFO] [C:\Dev\Programming\UWARG\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver_worker.py | heartbeat_receiver_worker | 66] HeartbeatReceiver created, entering main loop
13:22:56: [INFO] [C:\Dev\Programming\UWARG\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 65] Heartbeat connected
13:22:56: [DEBUG] [C:\Dev\Programming\UWARG\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 66] Heartbeat received
13:22:57: [DEBUG] [C:\Dev\Programming\UWARG\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 66] Heartbeat received
13:22:58: [DEBUG] [C:\Dev\Programming\UWARG\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 66] Heartbeat received
13:22:59: [DEBUG] [C:\Dev\Programming\UWARG\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 66] Heartbeat received
13:23:00: [DEBUG] [C:\Dev\Programming\UWARG\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 66] Heartbeat received
13:23:05: [WARNING] [C:\Dev\Programming\UWARG\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 71] Heartbeat disconnected
13:23:09: [INFO] [C:\Dev\Programming\UWARG\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 65] Heartbeat connected
13:23:09: [DEBUG] [C:\Dev\Programming\UWARG\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 66] Heartbeat received
13:23:10: [DEBUG] [C:\Dev\Programming\UWARG\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 66] Heartbeat received
13:23:11: [DEBUG] [C:\Dev\Programming\UWARG\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 66] Heartbeat received
13:23:12: [DEBUG] [C:\Dev\Programming\UWARG\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 66] Heartbeat received
13:23:13: [DEBUG] [C:\Dev\Programming\UWARG\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 66] Heartbeat received
13:23:15: [DEBUG] [C:\Dev\Programming\UWARG\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver.py | run | 66] Heartbeat received
13:23:17: [INFO] [C:\Dev\Programming\UWARG\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_receiver_worker.py | heartbeat_receiver_worker | 77] Heartbeat receiver worker shutting down
